date,open,high,low,close,EMA,Volume,ATR,RSI
2022-12-13,149.500,149.969,144.240,145.470,145.339,93886161.000,4.328,49.693
2022-12-14,145.350,146.655,141.160,143.210,145.136,82291182.000,4.483,46.263
2022-12-15,141.110,141.800,136.025,136.500,144.314,98931907.000,4.844,37.900
2022-12-16,136.685,137.650,133.730,134.510,143.380,160156900.000,4.721,35.831
2022-12-19,135.110,135.200,131.320,132.370,142.332,79592614.000,4.608,33.701
2022-12-20,131.390,133.250,129.890,132.300,141.376,77432819.000,4.442,33.630
2022-12-21,132.980,136.810,132.750,135.450,140.812,85927993.000,4.451,39.735
2022-12-22,134.352,134.560,130.300,132.230,139.994,77852108.000,4.544,36.081
2022-12-23,130.920,132.415,129.640,131.860,139.220,63814893.000,4.308,35.675
2022-12-27,131.380,131.410,128.720,130.030,138.345,69007830.000,4.153,33.659
2022-12-28,129.670,131.028,125.870,126.040,137.173,85438391.000,4.287,29.714
2022-12-29,127.990,130.481,127.730,129.610,136.452,75703710.000,4.307,36.845
2022-12-30,128.410,129.950,127.430,129.930,135.831,77034209.000,4.069,37.458
2023-01-03,130.280,130.900,124.170,125.070,134.806,112117471.000,4.424,32.329
2023-01-04,126.890,128.656,125.080,126.360,134.002,89113633.000,4.312,34.878
2023-01-05,127.130,127.770,124.760,125.020,133.147,80962708.000,4.138,33.468
2023-01-06,126.010,130.290,124.890,129.620,132.811,87754715.000,4.307,42.119
2023-01-09,130.465,133.410,129.890,130.150,132.557,70790813.000,4.238,43.038
2023-01-10,130.260,131.264,128.120,130.730,132.383,63896155.000,4.092,44.084
2023-01-11,131.250,133.510,130.460,133.490,132.489,69458949.000,3.953,48.895
2023-01-12,133.880,134.260,131.440,133.410,132.576,71379648.000,3.802,48.764
2023-01-13,132.030,134.920,131.660,134.760,132.784,57809719.000,3.730,51.142
2023-01-17,134.830,137.290,134.130,135.940,133.085,63646627.000,3.654,53.187
2023-01-18,136.815,138.610,135.030,135.210,133.287,69672800.000,3.644,51.744
2023-01-19,134.080,136.250,133.770,135.270,133.476,58280413.000,3.489,51.860
2023-01-20,135.280,138.020,134.220,137.870,133.895,80223626.000,3.530,56.701
2023-01-23,138.120,143.315,137.900,141.110,134.582,81760313.000,3.785,61.850
2023-01-24,140.305,143.160,140.300,142.530,135.339,66435142.000,3.662,63.877
2023-01-25,140.890,142.430,138.810,141.860,135.960,65799349.000,3.670,62.198
2023-01-26,143.170,144.250,141.900,143.960,136.722,54105068.000,3.499,65.279
2023-01-27,143.155,147.230,143.080,145.930,137.599,70555843.000,3.586,67.921
2023-01-30,144.955,145.550,142.850,143.000,138.113,64015274.000,3.518,60.543
2023-01-31,142.700,144.340,142.280,144.290,138.701,65874459.000,3.324,62.475
2023-02-01,143.970,146.610,141.320,145.430,139.342,77663633.000,3.586,64.147
2023-02-02,148.900,151.180,148.170,150.820,140.435,118338980.000,3.875,70.775
2023-02-03,148.030,157.380,147.830,154.500,141.775,154357337.000,4.631,74.272
2023-02-06,152.575,153.100,150.780,151.730,142.723,69858306.000,4.510,67.705
2023-02-07,150.640,155.230,150.640,154.650,143.859,83322551.000,4.521,70.651
2023-02-08,153.880,154.580,151.168,151.920,144.627,64120079.000,4.382,64.707
2023-02-09,153.775,154.330,150.420,150.870,145.221,56007143.000,4.319,62.529
2023-02-10,149.460,151.340,149.220,151.010,145.773,57450708.000,4.026,62.709
2023-02-13,150.952,154.260,150.920,153.850,146.542,62199013.000,3.934,66.256
2023-02-14,152.120,153.770,150.860,153.200,147.176,61707573.000,3.809,64.738
2023-02-15,153.110,155.500,152.880,155.330,147.952,65669252.000,3.650,67.375
2023-02-16,153.510,156.330,153.348,153.710,148.501,68167942.000,3.561,63.486
2023-02-17,152.350,153.000,150.850,152.550,148.886,59144118.000,3.468,60.781
2023-02-21,150.200,151.300,148.405,148.480,148.848,58867230.000,3.558,52.351
2023-02-22,148.870,149.950,147.160,148.910,148.854,51011305.000,3.456,53.091
2023-02-23,150.090,150.340,147.240,149.400,148.906,48394249.000,3.408,53.969
2023-02-24,147.110,147.190,145.720,146.710,148.697,55469606.000,3.444,48.595
2023-02-27,147.710,149.170,147.450,147.920,148.623,44998470.000,3.313,50.960
2023-02-28,147.050,149.080,146.830,147.410,148.507,50546998.000,3.171,49.917
