date,open,high,low,close,EMA,Volume,ATR,RSI
2023-05-02,28077.440,28899.990,27871.440,28684.400,28696.650,13258.605,1132.619,50.953
2023-05-03,28683.410,29276.120,28122.000,29038.750,28729.231,15588.835,1135.486,53.430
2023-05-04,29039.360,29383.500,28674.580,28857.230,28741.421,10407.161,1078.610,51.982
2023-05-05,28857.880,29706.570,28810.000,29536.760,28817.168,14691.126,1054.338,56.712
2023-05-06,29538.870,29850.000,28394.000,28902.660,28825.310,8546.799,1107.893,51.603
2023-05-07,28901.300,29189.710,28429.120,28474.530,28791.902,5884.670,1061.586,48.431
2023-05-08,28472.680,28676.380,27279.660,27695.060,28687.441,15859.418,1106.271,43.221
2023-05-09,27693.240,27833.640,27367.010,27647.290,28588.379,8888.427,1020.985,42.917
2023-05-10,27647.290,28334.750,26800.000,27624.010,28496.535,18590.970,1089.487,42.758
2023-05-11,27621.500,27649.850,26702.000,26986.560,28352.727,13438.746,1070.602,38.566
2023-05-12,26986.790,27099.210,25810.000,26808.840,28205.691,18458.495,1099.750,37.464
2023-05-13,26808.800,27060.240,26700.000,26789.480,28070.813,4782.644,1001.149,37.338
2023-05-14,26786.990,27221.510,26581.520,26929.980,27962.163,4393.205,952.994,38.934
2023-05-15,26929.980,27678.730,26740.950,27171.130,27886.826,11889.948,950.966,41.679
2023-05-16,27165.260,27302.990,26860.120,27037.680,27805.955,11209.908,883.219,40.592
2023-05-17,27037.720,27516.580,26543.870,27407.770,27768.033,13308.632,895.152,44.886
2023-05-18,27407.760,27487.710,26361.520,26820.490,27677.791,12604.949,925.957,39.951
2023-05-19,26819.640,27190.350,26632.730,26890.270,27602.789,7587.526,876.845,40.784
2023-05-20,26890.270,27178.990,26836.210,27113.610,27556.200,3127.428,805.636,43.487
2023-05-21,27113.970,27288.020,26667.630,26752.650,27479.672,5534.525,780.937,40.286
2023-05-22,26751.000,27105.630,26536.990,26854.730,27420.153,8554.422,752.631,41.595
2023-05-23,26854.090,27500.000,26803.460,27223.220,27401.398,11594.537,745.152,46.182
2023-05-24,27222.860,27225.000,26070.040,26321.400,27298.541,17337.444,799.793,38.263
2023-05-25,26321.420,26625.930,25864.350,26479.060,27220.495,12094.457,794.698,40.193
2023-05-26,26479.150,26950.000,26334.330,26714.860,27172.339,9858.600,770.828,43.062
2023-05-27,26711.560,26943.600,26559.960,26867.990,27143.354,3348.379,719.203,44.909
2023-05-28,26870.130,28277.560,26780.110,28070.040,27231.610,9725.642,822.969,56.769
2023-05-29,28070.040,28473.930,27534.810,27744.820,27280.487,11355.241,838.456,53.418
2023-05-30,27744.810,28057.230,27555.000,27700.150,27320.455,12024.431,793.626,52.956
2023-05-31,27700.680,27844.890,26842.940,27223.080,27311.181,15163.063,821.402,48.162
2023-06-01,27221.540,27360.310,26615.000,26828.420,27265.204,11927.594,811.257,44.567
2023-06-02,26827.730,27307.440,26508.000,27250.690,27263.821,12206.169,809.681,48.957
2023-06-03,27252.670,27341.130,26923.350,27077.600,27246.086,3589.323,757.428,47.303
2023-06-04,27078.270,27466.830,26958.980,27122.040,27234.272,4115.099,724.151,47.791
2023-06-05,27122.030,27137.750,25391.430,25741.500,27092.103,16641.469,860.440,36.495
2023-06-06,25741.500,27368.670,25351.920,27243.630,27106.534,18531.059,1014.614,50.269
2023-06-07,27243.450,27402.790,26121.060,26346.410,27034.142,16094.370,1050.230,44.114
2023-06-08,26347.090,26820.300,26212.630,26508.320,26984.063,8160.848,991.222,45.413
2023-06-09,26505.710,26780.400,26283.500,26482.810,26936.325,10536.832,925.312,45.234
2023-06-10,26482.800,26534.950,25385.520,25856.100,26833.446,16967.732,955.195,40.976
2023-06-11,25856.100,26219.100,25648.000,25937.020,26748.072,8653.838,903.982,41.739
2023-06-12,25936.980,26108.640,25616.980,25905.820,26667.858,10491.068,849.006,41.516
2023-06-13,25905.990,26435.810,25710.780,25930.230,26597.608,14396.747,832.476,41.778
2023-06-14,25929.350,26090.000,24821.000,25123.340,26457.201,14480.517,890.679,36.036
2023-06-15,25123.410,25749.990,24750.000,25569.990,26372.705,18601.189,905.254,40.880
2023-06-16,25569.990,26486.560,25143.240,26329.600,26368.600,16632.743,963.663,48.081
2023-06-17,26329.600,26783.200,26165.980,26506.560,26381.739,7209.425,917.470,49.620
