date,open,high,low,close,EMA,Volume,ATR,RSI
2023-05-02,1831.360,1882.550,1823.210,1871.260,1893.968,96998.097,75.816,48.178
2023-05-03,1871.270,1917.160,1843.520,1905.890,1895.104,104662.745,75.526,51.755
2023-05-04,1905.890,1918.340,1867.710,1878.010,1893.476,69495.919,72.206,48.832
2023-05-05,1878.250,2000.000,1876.360,1995.760,1903.217,181402.986,79.064,59.288
2023-05-06,1995.770,2020.000,1864.060,1900.120,1902.922,112739.216,89.314,50.298
2023-05-07,1900.120,1936.450,1870.610,1873.270,1900.098,74231.155,86.184,48.093
2023-05-08,1873.280,1886.870,1810.000,1849.110,1895.242,168218.435,84.942,46.133
2023-05-09,1849.110,1862.570,1832.000,1847.700,1890.714,93273.228,77.693,46.016
2023-05-10,1847.500,1888.970,1789.750,1842.470,1886.120,176402.424,80.563,45.551
2023-05-11,1842.330,1843.620,1772.260,1795.240,1877.464,133802.644,79.336,41.477
2023-05-12,1795.220,1817.250,1737.760,1808.350,1870.882,138780.084,79.357,43.001
2023-05-13,1808.240,1817.320,1786.440,1795.990,1863.750,51855.718,72.893,41.893
2023-05-14,1796.010,1824.670,1790.490,1800.030,1857.681,46196.571,67.731,42.415
2023-05-15,1800.000,1848.050,1785.520,1816.790,1853.787,117667.196,67.038,44.638
2023-05-16,1816.800,1833.250,1796.860,1824.640,1851.011,82503.847,62.951,45.695
2023-05-17,1824.570,1837.150,1783.590,1822.490,1848.294,94085.039,61.699,45.439
2023-05-18,1822.460,1831.840,1770.880,1800.610,1843.753,80676.453,61.601,42.811
2023-05-19,1800.610,1830.000,1797.080,1812.840,1840.809,64344.114,57.777,44.735
2023-05-20,1812.840,1829.850,1807.260,1819.960,1838.823,33384.800,53.085,45.877
2023-05-21,1819.900,1829.530,1797.190,1805.280,1835.629,33106.360,50.319,43.865
2023-05-22,1805.350,1829.510,1791.990,1817.760,1833.927,65551.707,48.612,46.031
2023-05-23,1817.760,1873.700,1815.590,1854.410,1835.878,86046.409,49.879,51.903
2023-05-24,1854.420,1854.750,1774.560,1799.750,1832.437,91641.796,53.920,44.183
