date,open,high,low,close,EMA,Volume,ATR,RSI
2023-01-01,1.06994,1.06994,1.06495,1.06647,1.05851,50193.00000,0.00729,62.80006
2023-01-02,1.06647,1.06831,1.05194,1.05467,1.05814,385015.00000,0.00850,50.55483
2023-01-03,1.05467,1.06351,1.05403,1.06019,1.05834,385003.00000,0.00863,54.97744
2023-01-04,1.06019,1.06314,1.05149,1.05214,1.05775,347098.00000,0.00903,48.20578
2023-01-05,1.05214,1.06480,1.04819,1.06392,1.05833,349636.00000,0.01004,56.62520
2023-01-08,1.06392,1.07606,1.06365,1.07278,1.05971,355490.00000,0.01036,61.67174
2023-01-09,1.07278,1.07594,1.07119,1.07329,1.06100,346616.00000,0.00961,61.94620
2023-01-10,1.07329,1.07763,1.07254,1.07567,1.06240,281897.00000,0.00901,63.26807
2023-01-11,1.07567,1.08670,1.07268,1.08522,1.06457,482088.00000,0.00968,68.06220
2023-01-12,1.08522,1.08678,1.07803,1.08318,1.06635,340898.00000,0.00955,66.07823
2023-01-15,1.08300,1.08741,1.08013,1.08209,1.06785,199822.00000,0.00925,64.98818
2023-01-16,1.08209,1.08694,1.07742,1.07874,1.06888,360607.00000,0.00929,61.62356
2023-01-17,1.07874,1.08873,1.07660,1.07940,1.06988,463642.00000,0.00967,62.04053
2023-01-18,1.07940,1.08401,1.07821,1.08310,1.07114,356933.00000,0.00915,64.37727
2023-01-19,1.08310,1.08590,1.08022,1.08546,1.07251,277581.00000,0.00869,65.82247
2023-01-22,1.08664,1.09267,1.08459,1.08682,1.07387,248253.00000,0.00861,66.66183
2023-01-23,1.08682,1.08979,1.08350,1.08824,1.07524,232170.00000,0.00830,67.55773
2023-01-24,1.08824,1.09236,1.08570,1.09122,1.07676,235260.00000,0.00808,69.41525
2023-01-25,1.09122,1.09295,1.08504,1.08884,1.07791,243240.00000,0.00806,66.15729
2023-01-26,1.08884,1.09005,1.08376,1.08657,1.07874,207999.00000,0.00782,63.11463
2023-01-29,1.08644,1.09138,1.08391,1.08486,1.07932,266787.00000,0.00777,60.84450
2023-01-30,1.08486,1.08749,1.08020,1.08606,1.07996,300629.00000,0.00771,61.88068
2023-01-31,1.08606,1.10017,1.08521,1.09882,1.08176,374260.00000,0.00868,70.74583
2023-02-01,1.09882,1.10328,1.08852,1.09093,1.08263,415270.00000,0.00949,61.25899
2023-02-02,1.09093,1.09402,1.07924,1.07925,1.08231,399777.00000,0.01019,50.46951
2023-02-05,1.07801,1.07989,1.07093,1.07253,1.08138,297084.00000,0.01003,45.50371
2023-02-06,1.07253,1.07665,1.06690,1.07231,1.08051,417115.00000,0.00999,45.34641
2023-02-07,1.07231,1.07607,1.07093,1.07098,1.07961,267412.00000,0.00934,44.34829
2023-02-08,1.07098,1.07908,1.07087,1.07372,1.07905,286035.00000,0.00919,46.93946
2023-02-09,1.07372,1.07527,1.06662,1.06764,1.07796,318706.00000,0.00912,42.23969
2023-02-12,1.06791,1.07299,1.06554,1.07188,1.07738,231598.00000,0.00890,46.27919
2023-02-13,1.07188,1.08044,1.07066,1.07366,1.07703,484933.00000,0.00902,47.92569
2023-02-14,1.07366,1.07445,1.06604,1.06865,1.07623,320750.00000,0.00893,43.85181
2023-02-15,1.06865,1.07225,1.06542,1.06720,1.07537,348138.00000,0.00865,42.71997
2023-02-16,1.06720,1.06984,1.06126,1.06941,1.07480,294600.00000,0.00864,45.04801
2023-02-19,1.06855,1.07045,1.06701,1.06844,1.07420,150264.00000,0.00795,44.19890
