date,open,high,low,close,EMA,Volume,ATR,RSI
2022-12-13,4069.380,4100.960,3993.030,4019.640,3967.586,3019000000.000,64.902,56.562
2022-12-14,4015.540,4053.760,3965.650,3995.330,3970.228,2531000000.000,67.996,54.060
2022-12-15,3958.370,3958.370,3879.450,3895.740,3963.134,2644000000.000,74.381,45.231
2022-12-16,3890.910,3890.910,3827.910,3852.350,3952.583,4655000000.000,73.507,42.012
2022-12-19,3853.790,3854.860,3800.040,3817.650,3939.732,2236000000.000,71.016,39.585
2022-12-20,3810.470,3838.240,3795.620,3821.610,3928.482,2158000000.000,67.229,40.011
2022-12-21,3839.490,3889.820,3839.490,3878.450,3923.717,2102000000.000,67.360,45.905
2022-12-22,3853.260,3853.260,3764.490,3822.380,3914.066,2322000000.000,73.574,41.566
2022-12-23,3815.110,3845.800,3797.010,3844.810,3907.470,1565000000.000,70.269,43.852
2022-12-27,3843.340,3846.650,3813.220,3829.260,3900.022,1699000000.000,65.357,42.608
2022-12-28,3829.560,3848.320,3780.780,3783.230,3888.899,1717000000.000,65.648,39.073
2022-12-29,3805.450,3858.190,3805.450,3849.270,3885.125,1717000000.000,66.890,45.996
2022-12-30,3829.060,3839.850,3800.340,3839.490,3880.778,1673000000.000,64.495,45.177
2023-01-03,3853.290,3878.460,3794.330,3824.130,3875.383,2298000000.000,67.113,43.857
2023-01-04,3840.360,3873.160,3815.770,3852.980,3873.250,2552000000.000,65.817,46.990
2023-01-05,3839.740,3839.740,3802.420,3808.090,3867.044,2214000000.000,63.782,42.971
2023-01-06,3823.370,3906.190,3809.560,3895.070,3869.713,2429000000.000,68.358,51.607
2023-01-09,3910.820,3950.570,3890.420,3892.100,3871.845,2444000000.000,67.264,51.322
2023-01-10,3888.570,3919.830,3877.290,3919.260,3876.361,2114000000.000,63.967,53.839
2023-01-11,3932.350,3970.070,3928.540,3969.600,3885.241,2315000000.000,62.213,58.158
2023-01-12,3977.570,3997.760,3937.560,3983.160,3894.566,2454000000.000,61.945,59.264
2023-01-13,3960.600,4003.950,3947.670,3999.080,3904.520,2290000000.000,61.189,60.581
2023-01-17,3999.280,4015.390,3984.570,3990.980,3912.754,2437000000.000,57.140,59.527
2023-01-18,4002.250,4014.160,3926.590,3928.850,3914.287,2514000000.000,61.197,52.043
2023-01-19,3911.840,3922.940,3885.540,3898.860,3912.818,2422000000.000,58.812,48.851
2023-01-20,3909.040,3972.960,3897.860,3972.600,3918.512,2584000000.000,60.984,55.998
2023-01-23,3978.140,4039.310,3971.640,4019.820,3928.160,2439000000.000,61.876,59.866
