date,open,high,low,close,EMA,Volume,ATR,RSI
2022-12-29,133.002,133.091,130.765,131.101,134.775,378222.000,1.751,33.888
2023-01-01,131.101,131.101,130.599,130.607,134.378,99639.000,1.584,32.756
2023-01-02,130.607,131.398,129.504,130.997,134.056,512622.000,1.626,34.613
2023-01-03,130.997,132.716,129.926,132.602,133.917,513081.000,1.781,41.743
2023-01-04,132.602,134.053,131.683,133.397,133.868,496482.000,1.859,44.946
2023-01-05,133.397,134.772,131.993,132.105,133.700,527218.000,1.982,41.001
2023-01-08,131.940,132.656,131.306,131.883,133.527,431251.000,1.898,40.346
2023-01-09,131.883,132.478,131.383,132.238,133.404,479323.000,1.791,41.944
2023-01-10,132.238,132.872,132.063,132.469,133.315,391446.000,1.660,43.013
2023-01-11,132.469,132.483,128.859,129.250,132.928,696287.000,1.922,33.697
2023-01-12,129.250,129.429,127.454,127.847,132.444,540978.000,1.929,30.587
2023-01-15,127.755,128.866,127.215,128.462,132.065,395243.000,1.892,33.485
2023-01-16,128.462,129.162,127.988,128.050,131.682,501053.000,1.796,32.506
2023-01-17,128.050,131.574,127.564,128.854,131.413,850159.000,2.091,36.413
2023-01-18,128.854,128.884,127.760,128.406,131.127,532106.000,1.962,35.190
2023-01-19,128.406,130.612,128.341,129.547,130.976,473352.000,2.003,40.655
2023-01-22,129.458,130.886,129.040,130.640,130.944,355402.000,1.982,45.403
2023-01-23,130.640,131.115,129.725,130.108,130.865,349723.000,1.903,43.576
2023-01-24,130.108,130.581,129.260,129.524,130.737,349655.000,1.826,41.596
2023-01-25,129.524,130.617,129.021,130.167,130.683,410324.000,1.795,44.581
2023-01-26,130.167,130.266,129.494,129.762,130.595,352227.000,1.659,43.087
2023-01-29,129.752,130.568,129.198,130.320,130.569,412790.000,1.620,45.783
2023-01-30,130.320,130.531,129.742,130.059,130.520,403846.000,1.509,44.716
2023-01-31,130.059,130.411,128.533,128.904,130.366,510719.000,1.559,40.247
2023-02-01,128.904,129.134,128.082,128.638,130.202,544171.000,1.491,39.273
2023-02-02,128.638,131.205,128.327,131.175,130.294,501826.000,1.676,51.358
2023-02-05,132.429,132.904,131.511,132.625,130.516,481956.000,1.683,56.666
2023-02-06,132.625,132.706,130.469,130.996,130.562,597688.000,1.757,50.057
2023-02-07,130.996,131.538,130.596,131.340,130.636,447417.000,1.648,51.348
2023-02-08,131.340,131.827,130.341,131.539,130.722,474544.000,1.627,52.119
