date,open,high,low,close,EMA,Volume,ATR,RSI
2022-12-28,34.804,34.804,34.582,34.619,34.956,3317.000,0.281,39.066
2022-12-29,34.619,34.668,34.502,34.613,34.924,3898.000,0.266,38.968
2023-01-01,34.613,34.636,34.509,34.543,34.887,2297.000,0.247,37.772
2023-01-02,34.543,34.544,34.286,34.388,34.840,8060.000,0.249,35.197
2023-01-03,34.388,34.430,33.852,33.952,34.755,8788.000,0.293,29.173
2023-01-04,33.952,34.168,33.778,34.036,34.687,7704.000,0.306,31.602
2023-01-05,34.036,34.092,33.654,33.778,34.600,9380.000,0.323,28.382
2023-01-08,33.778,33.819,33.373,33.446,34.490,7856.000,0.340,24.871
2023-01-09,33.446,33.604,33.314,33.465,34.393,7425.000,0.333,25.439
2023-01-10,33.465,33.617,33.268,33.434,34.301,5675.000,0.335,25.106
2023-01-11,33.434,33.470,33.086,33.156,34.192,11853.000,0.342,22.282
2023-01-12,33.156,33.198,32.855,32.872,34.066,6973.000,0.342,19.828
2023-01-15,32.872,33.113,32.706,33.077,33.972,6493.000,0.351,26.150
2023-01-16,33.077,33.198,32.955,32.992,33.879,8116.000,0.336,25.260
2023-01-17,32.992,33.185,32.768,33.028,33.798,10785.000,0.347,26.402
2023-01-18,33.028,33.168,32.876,32.892,33.712,7644.000,0.340,24.857
2023-01-19,32.892,32.933,32.690,32.713,33.616,6633.000,0.327,22.954
2023-01-22,32.713,32.859,32.564,32.730,33.532,4972.000,0.323,23.552
2023-01-23,32.730,32.905,32.695,32.758,33.458,5551.000,0.308,24.592
2023-01-24,32.758,32.889,32.710,32.732,33.389,5514.000,0.290,24.262
2023-01-25,32.732,32.865,32.603,32.804,33.333,6749.000,0.287,27.176
2023-01-26,32.804,32.948,32.764,32.803,33.283,5515.000,0.273,27.160
2023-01-29,32.803,32.832,32.670,32.782,33.235,6068.000,0.258,26.811
2023-01-30,32.782,33.082,32.730,32.830,33.197,7533.000,0.271,29.053
