date,open,high,low,close,EMA,Volume,ATR,RSI
2022-12-26,79.384,81.165,79.134,79.839,77.640,84623.000,2.860,54.293
2022-12-27,79.839,79.881,77.284,78.851,77.755,128299.000,2.825,51.509
2022-12-28,78.851,78.851,76.775,78.699,77.845,112953.000,2.725,51.075
2022-12-29,78.699,80.554,77.700,80.314,78.080,99748.000,2.742,55.377
2023-01-02,80.314,81.475,76.595,77.210,77.997,166230.000,3.027,46.850
2023-01-03,77.210,77.391,72.719,73.194,77.540,151200.000,3.247,38.574
2023-01-04,73.194,74.896,72.436,73.921,77.195,144282.000,3.142,40.619
2023-01-05,73.921,75.455,73.224,73.750,76.867,137416.000,3.020,40.279
2023-01-08,73.750,76.710,73.560,74.859,76.676,134465.000,3.038,43.575
2023-01-09,74.859,75.906,73.815,74.705,76.488,131654.000,2.911,43.218
2023-01-10,74.705,77.805,74.284,77.705,76.604,132433.000,2.993,51.539
2023-01-11,77.705,79.136,77.084,78.246,76.760,141753.000,2.867,52.880
2023-01-12,78.246,80.031,77.954,80.020,77.071,113000.000,2.762,57.075
2023-01-15,80.020,80.174,78.514,78.846,77.240,63185.000,2.615,53.670
2023-01-16,78.846,81.214,78.661,81.031,77.601,113179.000,2.607,58.618
2023-01-17,81.031,82.371,78.900,79.126,77.746,107919.000,2.722,53.276
2023-01-18,79.126,81.165,78.095,80.550,78.013,117916.000,2.768,56.469
2023-01-19,80.550,81.886,79.886,81.800,78.374,103747.000,2.666,59.111
2023-01-22,81.800,82.611,81.034,81.611,78.682,98309.000,2.521,58.533
2023-01-23,81.611,82.200,79.644,80.241,78.831,103870.000,2.525,54.379
2023-01-24,80.241,81.210,79.426,80.425,78.982,102129.000,2.427,54.842
2023-01-25,80.425,82.115,79.904,81.086,79.183,96326.000,2.398,56.550
2023-01-26,81.086,82.465,79.019,79.410,79.204,102899.000,2.538,51.257
2023-01-29,79.410,80.466,77.645,77.800,79.071,115974.000,2.575,46.731
2023-01-30,77.800,79.230,76.526,79.021,79.066,104209.000,2.593,50.314
2023-01-31,79.021,79.706,76.034,76.671,78.838,126546.000,2.736,44.158
2023-02-01,76.671,77.221,74.944,75.971,78.565,125436.000,2.675,42.490
2023-02-02,75.971,77.979,73.089,73.146,78.049,137280.000,2.971,36.499
2023-02-05,73.146,74.496,72.234,74.425,77.704,132909.000,2.876,40.584
2023-02-06,74.425,77.574,74.329,77.571,77.691,140577.000,2.925,49.234
2023-02-07,77.571,78.551,77.070,78.466,77.765,118053.000,2.733,51.401
2023-02-08,78.466,78.825,76.494,77.639,77.753,113971.000,2.679,49.306
2023-02-09,77.639,80.311,77.449,79.811,77.949,133225.000,2.703,54.546
2023-02-12,79.811,80.591,78.425,79.149,78.063,101076.000,2.632,52.756
2023-02-13,79.149,79.596,77.444,78.830,78.136,139039.000,2.568,51.873
2023-02-14,78.830,79.136,77.239,78.501,78.171,119927.000,2.478,50.926
2023-02-15,78.501,79.520,77.896,78.020,78.157,114329.000,2.364,49.503
2023-02-16,78.020,78.236,75.049,76.334,77.983,132211.000,2.474,44.780
2023-02-19,76.334,77.496,76.070,77.154,77.904,53872.000,2.334,47.408
2023-02-20,77.154,77.606,75.884,76.171,77.739,120215.000,2.253,44.664
2023-02-21,76.171,76.526,73.784,73.850,77.369,112166.000,2.318,38.933
2023-02-22,73.850,75.966,73.804,75.624,77.202,105433.000,2.297,44.766
2023-02-23,75.624,76.599,74.076,76.531,77.138,115602.000,2.327,47.526
2023-02-26,76.531,76.794,74.974,75.719,77.003,97286.000,2.260,45.342
2023-02-27,75.719,77.811,75.530,76.826,76.986,88127.000,2.262,48.797
2023-02-28,76.826,77.821,76.109,77.710,77.055,106761.000,2.189,51.437
2023-03-01,77.710,78.571,77.204,77.870,77.133,85257.000,2.079,51.920
2023-03-02,77.870,79.856,75.811,79.816,77.388,104598.000,2.342,57.464
2023-03-05,79.816,80.606,78.304,80.470,77.682,82497.000,2.336,59.168
2023-03-06,80.470,80.916,77.041,77.186,77.635,108913.000,2.541,48.633
2023-03-07,77.186,77.706,76.094,76.461,77.523,111313.000,2.418,46.658
2023-03-08,76.461,78.029,75.404,75.591,77.339,87819.000,2.445,44.331
2023-03-09,75.591,77.096,74.744,76.601,77.269,145351.000,2.433,47.598
2023-03-12,76.601,77.446,72.284,74.680,77.022,224630.000,2.797,42.491
2023-03-13,74.680,74.876,70.760,71.466,76.493,166922.000,2.973,35.606
2023-03-14,71.466,72.531,65.659,68.230,75.706,237959.000,3.492,30.286
2023-03-15,68.230,69.351,65.694,68.234,74.994,211483.000,3.514,30.300
2023-03-16,68.234,69.626,65.191,66.310,74.167,178571.000,3.637,27.470
2023-03-19,66.310,67.686,64.104,67.566,73.539,182071.000,3.630,31.939
2023-03-20,67.566,69.751,66.890,69.490,73.153,132652.000,3.527,38.218
2023-03-21,69.490,71.286,68.874,69.889,72.842,125010.000,3.379,39.466
2023-03-22,69.889,71.646,69.121,69.456,72.520,115396.000,3.265,38.556
2023-03-23,69.456,70.361,66.804,69.191,72.203,169364.000,3.304,37.979
2023-03-26,69.191,73.076,69.109,72.859,72.265,111596.000,3.392,49.291
2023-03-27,72.859,73.905,72.179,73.576,72.390,96644.000,3.170,51.166
2023-03-28,73.576,74.345,72.746,72.800,72.429,87413.000,2.961,49.052
2023-03-29,72.800,74.600,72.596,74.349,72.612,79538.000,2.833,53.208
2023-03-30,74.349,75.695,73.754,75.675,72.904,83616.000,2.714,56.481
2023-04-02,75.675,81.494,75.675,80.421,73.620,132825.000,3.128,65.722
2023-04-03,80.421,81.786,79.590,80.999,74.322,108615.000,3.004,66.650
2023-04-04,80.999,81.220,79.704,80.314,74.893,89536.000,2.805,64.423
2023-04-05,80.314,80.940,79.629,80.451,75.422,92898.000,2.606,64.677
2023-04-09,80.451,81.196,79.584,79.894,75.848,69485.000,2.474,62.714
2023-04-10,79.894,81.575,79.356,81.449,76.382,75261.000,2.440,65.832
2023-04-11,81.449,83.515,81.265,83.241,77.035,85876.000,2.414,69.044
2023-04-12,83.241,83.409,82.091,82.405,77.546,73538.000,2.268,65.930
2023-04-13,82.405,83.105,81.745,82.685,78.036,88647.000,2.147,66.475
2023-04-16,82.685,82.695,80.451,80.941,78.312,84226.000,2.160,60.030
2023-04-17,80.941,81.461,79.850,80.855,78.555,84866.000,2.087,59.722
2023-04-18,80.855,81.176,78.450,78.944,78.592,80597.000,2.172,53.201
2023-04-19,78.944,79.036,76.944,77.125,78.452,74546.000,2.161,47.845
2023-04-20,77.125,78.366,76.711,77.939,78.403,66961.000,2.094,50.258
2023-04-23,77.939,79.161,76.704,78.670,78.429,68091.000,2.142,52.389
2023-04-24,78.670,79.046,76.494,77.111,78.303,78447.000,2.197,47.697
2023-04-25,77.111,77.906,74.034,74.341,77.926,103515.000,2.420,40.719
2023-04-26,74.341,75.255,74.014,74.804,77.628,88528.000,2.263,42.240
2023-04-27,74.804,76.906,73.915,76.666,77.537,93216.000,2.360,48.017
2023-04-30,76.666,76.671,74.514,75.730,77.365,71996.000,2.333,45.550
2023-05-01,75.730,76.091,71.404,71.545,76.810,98489.000,2.647,36.519
2023-05-02,71.545,71.766,67.939,68.119,75.983,129424.000,2.804,31.085
2023-05-03,68.119,69.796,63.631,68.591,75.279,157446.000,3.252,32.573
2023-05-04,68.591,71.781,68.469,71.314,74.901,93873.000,3.260,40.551
2023-05-07,71.314,73.666,71.024,72.785,74.700,77520.000,3.178,44.380
2023-05-08,72.785,73.761,71.324,73.515,74.587,94733.000,3.079,46.230
2023-05-09,73.515,73.864,71.786,72.764,74.413,113972.000,2.946,44.587
2023-05-10,72.764,73.476,70.614,71.405,74.127,121746.000,2.934,41.698
2023-05-11,71.405,71.746,69.916,70.030,73.737,119387.000,2.787,38.948
2023-05-14,70.030,71.669,69.384,71.306,73.505,83823.000,2.720,42.723
2023-05-15,71.306,71.766,70.424,70.520,73.221,93204.000,2.536,41.040
2023-05-16,70.520,73.239,70.024,72.646,73.166,96502.000,2.627,47.110
2023-05-17,72.646,72.856,71.409,71.916,73.047,79104.000,2.470,45.382
2023-05-18,71.916,73.391,71.004,71.681,72.917,88818.000,2.459,44.812
2023-05-21,71.681,72.506,70.654,72.100,72.839,95239.000,2.378,46.111
2023-05-22,72.100,73.775,71.694,73.756,72.926,84323.000,2.338,51.018
2023-05-23,73.756,74.706,73.114,74.196,73.047,89879.000,2.239,52.262
2023-05-24,74.196,74.346,70.966,71.796,72.928,99525.000,2.391,45.478
2023-05-25,71.796,73.029,71.469,72.790,72.915,80366.000,2.280,48.462
2023-05-28,72.790,73.534,72.024,73.011,72.924,35538.000,2.177,49.129
2023-05-29,73.011,73.346,68.996,69.515,72.599,115023.000,2.467,40.258
2023-05-30,69.515,69.661,67.014,67.569,72.120,116485.000,2.491,36.326
2023-05-31,67.569,71.046,67.490,70.141,71.932,104734.000,2.633,44.097
2023-06-01,70.141,72.150,69.984,71.989,71.937,91388.000,2.571,48.921
2023-06-04,71.989,74.305,71.706,71.901,71.934,111144.000,2.575,48.706
2023-06-05,71.901,72.306,70.110,71.411,71.884,91149.000,2.524,47.452
2023-06-06,71.411,73.176,70.995,72.434,71.936,89153.000,2.478,50.327
2023-06-07,72.434,73.261,69.014,70.919,71.840,130655.000,2.714,46.288
2023-06-08,70.919,71.754,70.084,70.305,71.693,94922.000,2.575,44.722
2023-06-11,70.305,70.316,66.784,67.321,71.277,104109.000,2.703,37.993
2023-06-12,67.321,69.810,67.129,69.274,71.086,103082.000,2.700,43.938
2023-06-13,69.274,70.466,68.054,68.670,70.856,106661.000,2.661,42.579
2023-06-14,68.670,70.946,67.959,70.556,70.828,100488.000,2.705,47.991
2023-06-15,70.556,71.856,69.934,71.551,70.896,90749.000,2.600,50.634
2023-06-18,71.551,72.015,70.589,71.240,70.929,49002.000,2.444,49.783
2023-06-19,71.240,72.360,69.750,70.871,70.924,96075.000,2.466,48.735
2023-06-20,70.871,72.691,70.786,72.344,71.059,77857.000,2.391,52.988
2023-06-21,72.344,72.631,68.914,69.510,70.911,88147.000,2.568,45.216
2023-06-22,69.510,69.585,67.324,69.449,70.772,86898.000,2.527,45.063
2023-06-25,69.449,70.070,68.689,69.514,70.652,100519.000,2.374,45.276
2023-06-26,69.514,70.126,67.476,67.996,70.399,113795.000,2.411,41.257
2023-06-27,67.996,69.709,67.024,69.140,70.279,121655.000,2.448,45.204
2023-06-28,69.140,70.576,68.914,69.765,70.230,96319.000,2.343,47.288
2023-06-29,69.765,71.021,69.519,70.396,70.246,88931.000,2.231,49.381
2023-07-02,70.396,71.745,69.675,70.105,70.233,90860.000,2.209,48.426
2023-07-03,70.105,71.339,69.879,71.006,70.306,44979.000,2.109,51.551
2023-07-04,71.006,72.146,70.326,71.806,70.449,77976.000,2.071,54.204
2023-07-05,71.806,72.321,70.194,71.891,70.586,100255.000,2.078,54.489
2023-07-06,71.891,73.896,71.169,73.639,70.877,75220.000,2.165,60.004
2023-07-09,73.639,74.136,72.654,73.191,71.098,73694.000,2.074,58.062
2023-07-10,73.191,74.940,72.964,74.805,71.451,63494.000,2.061,62.740
2023-07-11,74.805,76.126,74.650,75.840,71.869,82153.000,1.983,65.406
2023-07-12,75.840,77.316,75.301,77.196,72.376,75218.000,1.987,68.577
2023-07-13,77.196,77.276,75.094,75.204,72.645,77141.000,2.013,59.891
2023-07-16,75.204,76.066,73.824,74.096,72.784,92193.000,2.044,55.668
2023-07-17,74.096,75.945,73.865,75.774,73.068,66562.000,2.048,60.240
2023-07-18,75.774,76.954,75.055,75.395,73.290,76353.000,2.028,58.766
2023-07-19,75.395,76.136,74.494,75.696,73.519,70863.000,1.977,59.611
2023-07-20,75.696,77.266,75.660,76.884,73.840,64522.000,1.928,62.849
2023-07-23,76.884,79.256,76.414,78.901,74.322,81202.000,2.049,67.599
2023-07-24,78.901,79.876,78.264,79.306,74.796,67469.000,1.991,68.470
2023-07-25,79.306,79.746,78.524,78.910,75.188,73315.000,1.889,66.584
2023-07-26,78.910,80.586,78.846,79.794,75.627,81331.000,1.869,68.660
2023-07-27,79.794,80.686,79.050,80.669,76.107,74960.000,1.838,70.606
2023-07-30,80.669,81.976,80.104,81.741,76.644,67014.000,1.842,72.831
2023-07-31,81.741,82.196,80.570,82.151,77.168,71866.000,1.813,73.653
2023-08-01,82.151,82.406,79.034,79.719,77.411,99216.000,2.021,61.727
2023-08-02,79.719,81.836,78.676,81.701,77.820,95292.000,2.173,66.489
2023-08-03,81.701,83.211,81.494,82.636,78.278,77078.000,2.112,68.482
2023-08-06,82.636,83.281,81.505,82.454,78.676,64109.000,2.067,67.639
2023-08-07,82.454,83.056,79.900,82.829,79.071,85377.000,2.213,68.499
2023-08-08,82.829,84.630,82.654,84.209,79.561,89276.000,2.181,71.502
2023-08-09,84.209,84.871,82.594,82.845,79.874,93677.000,2.194,64.915
2023-08-10,82.845,83.786,82.204,83.034,80.175,86023.000,2.112,65.391
2023-08-13,83.034,83.171,81.744,82.449,80.391,80679.000,2.021,62.563
2023-08-14,82.449,82.889,80.385,81.061,80.455,90047.000,2.085,56.338
2023-08-15,81.061,81.404,79.034,79.260,80.341,89799.000,2.123,49.460
2023-08-16,79.260,81.060,78.925,80.051,80.314,73350.000,2.125,52.219
2023-08-17,80.051,81.586,79.574,81.354,80.413,90067.000,2.110,56.438
2023-08-20,81.354,82.451,80.589,80.901,80.459,80912.000,2.077,54.632
2023-08-21,80.901,80.901,79.444,79.630,80.380,60383.000,1.994,49.815
2023-08-22,79.630,79.886,77.604,78.540,80.205,73444.000,2.032,46.065
2023-08-23,78.540,79.256,77.574,78.854,80.076,68488.000,1.986,47.296
2023-08-24,78.854,80.436,78.131,80.015,80.070,81449.000,2.028,51.687
2023-08-27,80.015,80.846,79.594,79.974,80.061,59342.000,1.925,51.523
2023-08-28,79.974,81.386,79.324,81.295,80.179,59176.000,1.943,56.311
2023-08-29,81.295,82.026,80.864,81.696,80.323,69720.000,1.839,57.678
2023-08-30,81.696,83.666,81.465,83.566,80.632,66194.000,1.887,63.423
2023-08-31,83.566,85.930,83.450,85.930,81.137,75944.000,1.966,69.129
2023-09-03,85.930,86.114,85.254,85.956,81.596,36274.000,1.819,69.186
2023-09-04,85.956,88.026,85.000,86.709,82.083,97087.000,1.980,70.862
2023-09-05,86.709,88.065,85.906,87.570,82.605,75570.000,2.004,72.691
2023-09-06,87.570,87.725,86.365,86.751,83.000,70940.000,1.918,68.299
2023-09-07,86.751,87.926,86.139,87.261,83.406,69795.000,1.900,69.533
