date,open,high,low,close,EMA,Volume,ATR,RSI
2022-12-26,1798.425,1833.445,1798.425,1813.910,1787.988,54855.000,24.819,59.518
2022-12-27,1813.910,1814.645,1797.100,1804.300,1789.541,53633.000,23.850,56.565
2022-12-28,1804.300,1820.205,1804.180,1814.985,1791.964,47045.000,22.806,59.001
2022-12-29,1814.985,1826.140,1813.400,1823.790,1794.995,74918.000,21.464,60.944
2023-01-02,1823.790,1849.990,1823.790,1839.700,1799.253,100770.000,22.096,64.243
2023-01-03,1839.700,1865.215,1836.240,1854.650,1804.529,76233.000,23.013,67.058
2023-01-04,1854.650,1858.995,1825.130,1832.700,1807.212,66836.000,24.460,59.634
2023-01-05,1832.700,1869.920,1831.420,1866.110,1812.821,77133.000,26.332,65.834
2023-01-08,1866.110,1881.550,1866.110,1871.705,1818.429,60521.000,24.880,66.755
2023-01-09,1871.705,1880.795,1867.930,1876.990,1824.006,60283.000,23.278,67.642
2023-01-10,1876.990,1886.695,1867.220,1875.965,1828.955,65959.000,22.771,67.267
2023-01-11,1875.965,1901.705,1870.300,1896.785,1835.415,86288.000,23.922,70.807
2023-01-12,1896.785,1921.910,1892.395,1920.315,1843.501,66075.000,24.668,74.203
2023-01-15,1920.315,1929.060,1910.915,1916.010,1850.406,42380.000,23.798,72.540
2023-01-16,1916.010,1919.095,1903.810,1908.710,1855.959,58969.000,22.663,69.689
2023-01-17,1908.710,1925.945,1896.675,1904.510,1860.583,79921.000,23.544,68.032
2023-01-18,1904.510,1935.210,1901.035,1932.260,1867.409,59576.000,24.961,72.658
2023-01-19,1932.260,1937.580,1920.720,1926.060,1872.995,60306.000,23.881,70.213
2023-01-22,1926.060,1935.590,1911.435,1931.340,1878.552,58426.000,23.918,71.105
2023-01-23,1931.340,1942.555,1917.220,1937.315,1884.148,48239.000,24.107,72.122
2023-01-24,1937.315,1948.100,1919.945,1946.325,1890.070,66017.000,24.646,73.629
2023-01-25,1946.325,1949.260,1918.695,1929.215,1893.798,69317.000,25.436,66.299
2023-01-26,1929.215,1935.050,1916.745,1927.730,1897.030,54335.000,24.485,65.688
2023-01-29,1927.730,1934.565,1920.745,1923.200,1899.522,44861.000,23.063,63.757
2023-01-30,1923.200,1931.190,1900.870,1928.235,1902.257,58763.000,24.030,64.989
2023-01-31,1928.235,1954.645,1920.580,1950.145,1906.817,83262.000,25.368,69.799
2023-02-01,1950.145,1959.770,1911.375,1912.690,1907.377,85620.000,28.439,55.708
2023-02-02,1912.690,1918.650,1861.430,1865.695,1903.407,97515.000,32.276,43.768
2023-02-05,1865.695,1881.405,1862.130,1867.695,1900.006,62641.000,30.543,44.315
2023-02-06,1867.695,1884.410,1865.050,1871.885,1897.328,80008.000,29.052,45.511
2023-02-07,1871.885,1886.515,1869.160,1875.550,1895.254,58339.000,27.492,46.591
2023-02-08,1875.550,1890.250,1858.975,1861.780,1892.066,59722.000,27.996,43.131
2023-02-09,1861.780,1872.210,1852.835,1865.350,1889.521,66271.000,26.847,44.286
2023-02-12,1865.350,1866.640,1850.525,1853.740,1886.114,43393.000,25.416,41.345
2023-02-13,1853.740,1870.800,1843.260,1854.435,1883.097,97140.000,25.699,41.595
2023-02-14,1854.435,1860.190,1830.620,1836.005,1878.612,67909.000,26.215,37.080
2023-02-15,1836.005,1845.320,1827.665,1836.520,1874.603,60769.000,25.074,37.285
2023-02-16,1836.520,1843.685,1818.975,1842.565,1871.552,57762.000,25.025,39.764
2023-02-19,1842.565,1847.570,1837.360,1843.760,1868.905,29521.000,23.050,40.267
2023-02-20,1843.760,1843.905,1830.290,1834.915,1865.668,51231.000,21.792,37.755
2023-02-21,1834.915,1846.070,1823.560,1825.305,1861.824,51795.000,21.888,35.187
2023-02-22,1825.305,1833.900,1817.550,1822.300,1858.059,51711.000,21.149,34.399
2023-02-23,1822.300,1827.885,1809.010,1810.985,1853.576,65299.000,20.846,31.536
2023-02-26,1810.985,1820.200,1806.705,1817.250,1850.117,42639.000,19.866,34.773
